LOCALITY_ID,sampled,NEIGHBOR_ID,dist_km,median_waiting_time,duration,N,days_since,neighbor_waiting_time
L1030678,yes,L1300136,2.358412383331999,588,1176,4,494,10
L915566,yes,L1300136,1.279883310346917,4,3139,535,0,10
L945869,yes,L8083126,2.212981568709341,1,3156,984,0,NA
L2444301,yes,L2557723,5.996740072912959,8,2361,145,9,85
L1300136,yes,L1030678,2.358412383331999,10,2963,89,7,588
L3007885,no,L5146094,3.095376863726871,NA,NA,NA,NA,5
L2557723,yes,L2444301,5.996740072912959,85,1279,8,285,8
L5076722,yes,L5146094,1.6754200932978025,36,481,13,258,5
L5146094,yes,L5076722,1.6754200932978025,5,669,51,39,36
L8083126,yes,L945869,2.212981568709341,NA,NA,1,25,1
